Index,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Temperature(F),Wind Speed(MPH)
0,Khatanga,RU,71.98,102.47,1533444220,12,84,56.74,23.89
1,Alofi,NU,-19.06,-169.92,1533441600,88,78,71.6,12.75
2,Kodiak,US,39.95,-94.76,1533441180,1,69,77.0,9.17
3,Mehamn,NO,71.03,27.85,1533444220,92,100,51.52,5.99
4,Nuevo Progreso,MX,17.14,-95.05,1533444221,88,88,74.65,2.86
5,Saskylakh,RU,71.97,114.09,1533444221,0,65,60.25,15.84
6,Caravelas,BR,-17.73,-39.27,1533444222,44,100,75.64,17.4
7,Qaanaaq,GL,77.48,-69.36,1533444222,88,93,37.66,3.31
8,Aklavik,CA,68.22,-135.01,1533441600,90,77,59.0,5.82
9,Hermanus,ZA,-34.42,19.24,1533444223,36,100,40.99,3.65
10,Vaini,TO,-21.2,-175.2,1533441600,75,68,69.8,16.11
11,Grindavik,IS,63.84,-22.43,1533441600,75,100,49.15,8.05
12,Kapaa,US,22.08,-159.32,1533441360,90,83,81.72,19.46
13,Ushuaia,AR,-54.81,-68.31,1533441600,40,80,33.8,31.09
14,Umtata,ZA,-31.59,28.78,1533441600,0,81,42.8,3.36
15,Port Alfred,ZA,-33.59,26.89,1533444224,88,100,58.0,12.82
16,Ariquemes,BR,-9.91,-63.03,1533444225,92,79,74.2,1.74
17,Rikitea,PF,-23.12,-134.97,1533444225,8,98,74.83,14.05
18,Port Elizabeth,ZA,-33.92,25.57,1533441600,20,93,53.6,5.82
19,Mar del Plata,AR,-46.43,-67.52,1533444226,76,93,43.24,9.01
20,Butaritari,KI,3.07,172.79,1533444179,32,100,82.48,6.44
21,Roros,NO,62.57,11.38,1533442800,92,100,48.2,3.36
22,Vao,NC,-22.67,167.48,1533443686,0,100,68.53,13.71
23,Hobyo,SO,5.35,48.53,1533444227,32,77,77.53,14.38
24,Fuxin,CN,42.02,121.65,1533444228,88,71,78.16,8.34
25,Teruel,ES,40.34,-1.11,1533441600,0,53,75.2,4.7
26,Pavlovskiy,RU,45.07,37.77,1533441600,0,88,73.4,2.53
27,Esperance,AU,-33.86,121.89,1533444229,92,86,50.62,17.29
28,Souillac,MU,-20.52,57.52,1533441600,20,69,73.4,9.17
29,Bethel,US,60.79,-161.76,1533441180,90,77,60.8,14.99
30,Juneau,US,58.3,-134.42,1533441360,75,87,63.88,6.93
31,Jamestown,SH,-15.94,-5.72,1533444107,80,100,67.18,8.12
32,Atuona,PF,-9.8,-139.03,1533444231,0,100,79.51,18.07
33,Punta Arenas,CL,-53.16,-70.91,1533441600,20,69,33.8,14.99
34,Longyearbyen,SJ,78.22,15.64,1533444043,44,99,39.82,2.53
35,Kruisfontein,ZA,-34.0,24.73,1533444231,76,100,55.03,5.66
36,Ucluelet,CA,48.94,-125.55,1533444232,0,90,57.73,1.86
37,Oktyabrskiy,RU,55.61,37.97,1533441600,0,72,66.63,6.71
38,Albany,US,42.65,-73.75,1533442440,20,88,64.83,2.19
39,Port Hardy,CA,50.7,-127.42,1533441600,75,72,62.6,6.93
40,Cape Town,ZA,-33.93,18.42,1533441600,75,93,51.8,6.93
41,Albany,AU,-35.02,117.88,1533444234,92,72,52.87,17.85
42,Palora,EC,-1.7,-77.97,1533444234,56,98,59.35,2.42
43,Tuktoyaktuk,CA,69.44,-133.03,1533441600,90,72,59.0,8.05
44,Castro,CL,-42.48,-73.76,1533444235,92,97,50.8,7.45
45,Hilo,US,19.71,-155.08,1533442200,90,88,69.91,5.82
46,Camacha,PT,33.08,-16.33,1533441600,75,83,70.57,17.22
47,Tasiilaq,GL,65.61,-37.64,1533444236,8,100,42.79,2.08
48,Busselton,AU,-33.64,115.35,1533444236,68,100,59.17,19.75
49,Pontianak,ID,-0.02,109.34,1533441600,20,58,86.0,9.17
50,Puerto Ayora,EC,-0.74,-90.35,1533444237,32,100,69.25,12.59
51,Bluff,NZ,-46.6,168.33,1533444237,68,100,47.83,1.74
52,Inhambane,MZ,-23.87,35.38,1533441600,20,94,68.0,8.05
53,Arraial do Cabo,BR,-22.97,-42.02,1533444237,36,100,67.0,3.2
54,Upernavik,GL,72.79,-56.15,1533444238,48,92,40.36,8.34
55,Vanavara,RU,60.35,102.28,1533443671,0,63,67.36,8.79
56,Ardrishaig,GB,56.02,-5.45,1533442800,90,93,55.4,9.17
57,Qixia,CN,37.31,120.83,1533444239,68,58,90.4,9.01
58,Manggar,ID,-2.88,108.27,1533444239,20,66,87.34,13.04
59,Lebu,CL,-37.62,-73.65,1533444239,100,97,53.5,19.08
60,Qaqortoq,GL,60.72,-46.03,1533441000,92,87,44.6,4.7
61,Chuy,UY,-33.69,-53.46,1533444240,92,98,51.52,15.73
62,Hithadhoo,MV,-0.6,73.08,1533444241,64,100,83.92,7.67
63,Palmer,US,61.6,-149.11,1533441360,90,64,69.44,2.42
64,Mackay,AU,-21.15,149.2,1533441600,0,69,75.2,10.29
65,Sabya,SA,17.15,42.62,1533441600,0,66,91.4,9.17
66,Shitanjing,CN,39.23,106.34,1533444242,48,66,79.51,2.64
67,Shimoda,JP,34.7,138.93,1533441600,20,74,87.8,19.46
68,Anadyr,RU,64.73,177.51,1533441600,90,93,48.2,13.42
69,Kahului,US,20.89,-156.47,1533441360,40,83,77.54,21.92
70,Taiyuan,CN,37.86,112.56,1533441600,0,58,84.2,13.42
71,East London,ZA,-33.02,27.91,1533444243,88,100,60.88,24.34
72,Karatau,KZ,43.18,70.46,1533444244,0,25,86.53,9.8
73,Nouakchott,MR,18.08,-15.98,1533443725,0,100,77.89,19.86
74,Baykit,RU,61.68,96.39,1533444244,88,71,65.38,11.48
75,Ostrovnoy,RU,68.05,39.51,1533444245,88,79,53.41,6.33
76,Yulara,AU,-25.24,130.99,1533443400,0,27,62.6,24.16
77,Ixtapa,MX,20.71,-105.21,1533442380,90,100,80.6,13.87
78,Saint-Philippe,RE,-21.36,55.77,1533441600,20,52,68.83,4.7
79,Trofors,NO,65.54,13.39,1533442800,92,93,57.2,10.29
80,Manavalakurichi,IN,8.13,77.3,1533443400,40,88,80.6,11.41
81,Bambous Virieux,MU,-20.34,57.76,1533441600,20,69,73.4,9.17
82,Synya,RU,65.37,58.04,1533444247,32,79,54.04,3.76
83,Hun,LY,29.13,15.95,1533444247,0,55,77.08,9.13
84,Todos Santos,MX,23.45,-110.23,1533440700,5,65,83.59,11.41
85,Steinbach,CA,49.53,-96.69,1533441600,40,87,60.8,8.05
86,Carnarvon,AU,-24.87,113.63,1533444248,0,80,66.73,18.75
87,San Patricio,MX,19.22,-104.7,1533444249,12,97,75.28,2.75
88,Atbasar,KZ,51.81,68.36,1533444250,36,62,80.32,8.46
89,Oistins,BB,13.07,-59.53,1533441600,40,83,80.6,10.29
90,Husavik,IS,66.04,-17.34,1533441600,90,93,48.2,3.53
91,Victoria,SC,-4.62,55.45,1533441600,40,78,80.6,14.99
92,Chokurdakh,RU,70.62,147.9,1533444252,0,76,49.36,11.48
93,Beringovskiy,RU,63.05,179.32,1533443656,92,100,48.37,8.01
94,Deputatskiy,RU,69.3,139.9,1533444252,0,51,56.38,9.8
95,Avarua,CK,-21.21,-159.78,1533441600,40,73,75.2,21.92
96,Nakusp,CA,50.24,-117.8,1533444253,48,74,53.95,1.63
97,Saint-Pierre,PM,46.77,-56.17,1533444097,92,95,60.16,11.36
98,Killybegs,IE,54.63,-8.45,1533444254,80,100,55.93,5.21
99,Faanui,PF,-16.48,-151.75,1533444254,36,100,79.33,13.82
100,Tabou,CI,4.42,-7.36,1533444255,8,100,76.9,10.58
101,Jumla,NP,29.28,82.18,1533444255,80,92,49.63,1.63
102,Tuatapere,NZ,-46.13,167.69,1533444255,0,100,44.32,2.42
103,Dmitriyevka,RU,54.05,40.44,1533444256,56,62,80.41,6.55
104,Osa,RU,57.28,55.46,1533444256,92,78,59.08,3.98
105,Nishihara,JP,35.74,139.53,1533441600,40,59,92.73,8.05
106,Kobryn,BY,52.21,24.36,1533441600,44,88,64.4,4.47
107,Moerai,PF,-22.43,-151.33,1533444257,92,100,69.88,15.84
108,Haines Junction,CA,60.75,-137.51,1533444257,80,66,56.74,2.19
109,Teya,RU,60.37,92.63,1533444258,24,76,59.08,6.22
110,Kutoarjo,ID,-7.72,109.9,1533444258,0,70,80.05,14.83
111,Koungou,YT,-12.73,45.2,1533441600,75,88,75.2,1.12
112,Diffa,NE,13.32,12.61,1533444258,88,98,71.86,10.25
113,Tyup,KG,42.73,78.36,1533444259,0,33,72.76,2.86
114,Tiksi,RU,71.64,128.87,1533444259,0,69,60.43,11.14
115,Ribeira Grande,PT,38.52,-28.7,1533444259,44,100,71.86,9.8
116,Shebunino,RU,57.66,40.04,1533444260,8,79,73.57,6.67
117,Portland,AU,-33.35,149.98,1533444260,0,64,52.96,4.76
118,Chortomlyk,UA,47.62,34.14,1533444260,0,62,81.04,4.65
119,Bubaque,GW,11.28,-15.83,1533444261,88,100,78.16,10.8
120,Camacupa,AO,-12.02,17.48,1533444261,0,74,54.13,2.3
121,Hobart,AU,-42.88,147.33,1533441600,75,48,60.8,13.87
122,Bredasdorp,ZA,-34.53,20.04,1533441600,24,93,46.4,4.7
123,Lompoc,US,34.64,-120.46,1533441480,1,77,62.94,3.36
124,Pevek,RU,69.7,170.27,1533444262,20,89,46.3,9.46
125,Seoul,KR,37.57,126.98,1533441600,20,59,91.4,12.75
126,Nikolskoye,RU,59.7,30.79,1533441600,40,88,66.2,4.47
127,Georgetown,SH,-7.93,-14.42,1533444263,0,100,76.0,15.73
128,Semey,KZ,50.41,80.25,1533444264,64,50,79.96,6.33
129,Ngunguru,NZ,-35.62,174.5,1533444264,0,100,57.28,13.6
130,Khandyga,RU,62.65,135.58,1533444264,76,69,67.09,6.44
131,Talnakh,RU,69.49,88.39,1533444264,92,81,50.62,8.12
132,Yellowknife,CA,62.45,-114.38,1533441600,75,62,53.6,5.82
133,Santa Fe,PA,8.66,-78.16,1533443696,68,100,75.46,3.31
134,Robertsport,LR,6.75,-11.37,1533444266,88,100,75.73,6.78
135,Vila Franca do Campo,PT,37.72,-25.43,1533443400,75,77,69.8,8.05
136,Sakaiminato,JP,35.55,133.23,1533441600,40,44,92.12,17.22
137,Bismarck,US,46.81,-100.78,1533442500,1,68,68.13,4.7
138,Banda Aceh,ID,5.56,95.32,1533444269,20,60,88.33,7.23
139,Tegal,ID,-6.87,109.14,1533444269,0,100,82.48,2.75
140,Ulaanbaatar,MN,47.92,106.92,1533443400,75,60,69.8,24.61
141,Cherskiy,RU,68.75,161.3,1533444270,12,49,55.75,7.0
142,Kavieng,PG,-2.57,150.8,1533444270,76,100,79.96,3.98
143,Kavaratti,IN,10.57,72.64,1533444271,8,95,83.38,14.05
144,Itarema,BR,-2.92,-39.92,1533444271,68,91,75.37,12.71
145,Barrow,US,39.51,-90.4,1533442500,1,83,78.35,4.7
146,Camocim,BR,-2.9,-40.84,1533444271,0,89,75.01,13.38
147,Palembang,ID,-2.99,104.76,1533441600,40,62,86.0,13.87
148,Hofn,IS,64.25,-15.21,1533444272,92,97,50.08,2.08
149,Torbay,CA,47.66,-52.73,1533441600,90,87,55.4,5.82
150,Kysyl-Syr,RU,63.9,122.77,1533443721,64,60,58.45,9.8
151,Hasaki,JP,35.73,140.83,1533441600,20,59,94.05,9.17
152,Collierville,US,35.04,-89.66,1533442500,75,83,76.98,3.2
153,Thompson,CA,55.74,-97.86,1533441600,90,81,53.6,10.29
154,Vostok,RU,46.45,135.83,1533444274,8,62,73.48,2.86
155,Ordu,TR,40.98,37.88,1533444240,0,60,70.6,1.74
156,Florianopolis,BR,-27.6,-48.55,1533441600,40,100,60.8,5.82
157,Geraldton,AU,-28.77,114.6,1533441600,90,72,59.0,19.46
158,Port Keats,AU,-14.25,129.55,1533444275,0,49,85.72,6.22
159,Pho Chai,TH,16.33,103.77,1533441600,75,66,87.8,8.05
160,Atherton,AU,-17.27,145.48,1533441600,20,51,82.4,14.99
161,Stutterheim,ZA,-32.57,27.43,1533444276,24,54,49.63,6.22
162,Igrim,RU,63.19,64.42,1533444277,56,75,54.13,3.53
163,Bang Saphan,TH,11.21,99.51,1533441600,75,74,86.0,14.99
164,Luanda,AO,-8.83,13.24,1533441600,40,93,66.2,3.36
165,Guerrero Negro,MX,27.97,-114.04,1533444277,20,97,70.33,6.89
166,Houma,US,29.6,-90.72,1533442500,1,88,77.52,3.36
167,Tessalit,ML,20.2,1.01,1533444279,0,63,76.36,2.08
168,Pitimbu,BR,-7.47,-34.81,1533441600,20,94,71.6,3.36
169,Vikersund,NO,59.97,9.99,1533444279,0,62,60.79,7.23
170,Cabo San Lucas,MX,22.89,-109.91,1533440700,5,65,84.36,11.41
171,Sitka,US,37.17,-99.65,1533444280,0,43,81.94,16.84
172,Dikson,RU,73.51,80.55,1533444280,92,100,40.36,21.88
173,Mercedes,UY,-33.25,-58.03,1533442380,0,100,44.6,2.24
174,Russell,NZ,-35.26,174.12,1533444281,8,76,51.25,7.56
175,San Pedro,AR,-33.68,-59.66,1533444281,0,84,37.66,2.75
176,Alice Springs,AU,-23.7,133.88,1533441960,0,14,75.2,19.46
177,Pacific Grove,US,36.62,-121.92,1533443700,1,56,62.94,6.93
178,Makakilo City,US,21.35,-158.09,1533442380,75,83,80.15,12.75
179,Sri Aman,MY,1.24,111.46,1533441600,75,66,87.8,8.05
180,Yinchuan,CN,38.48,106.21,1533444283,24,46,91.48,4.32
181,Fortuna,US,40.6,-124.16,1533441300,90,87,57.2,8.05
182,Hambantota,LK,6.12,81.12,1533444284,48,92,82.48,17.07
183,Haubourdin,FR,50.61,2.99,1533443400,75,87,62.17,5.82
184,Severo-Kurilsk,RU,50.68,156.12,1533444284,24,88,56.83,4.99
185,Klaksvik,FO,62.23,-6.59,1533442800,80,93,48.2,4.7
186,Porto Novo,CV,17.02,-25.06,1533441600,40,78,75.2,16.11
187,Vannes,FR,47.66,-2.76,1533443400,0,93,64.42,6.93
188,Chibombo,ZM,-14.68,28.09,1533444287,0,53,57.91,12.37
189,Cascais,PT,38.7,-9.42,1533443400,0,32,76.32,1.12
190,Okitipupa,NG,6.5,4.78,1533444287,92,92,73.3,3.42
191,Atar,MR,20.52,-13.05,1533444288,44,37,73.3,5.1
192,Namibe,AO,-15.19,12.15,1533444288,12,100,64.03,11.59
193,Chuchkovo,RU,54.27,41.45,1533444095,12,50,82.12,5.88
194,Agdam,AZ,39.99,46.93,1533444289,0,50,82.3,5.32
195,Provideniya,RU,64.42,-173.23,1533444289,92,97,47.47,23.11
196,Ponta do Sol,CV,17.2,-25.09,1533444289,76,100,74.2,15.5
197,Mezen,RU,65.85,44.24,1533444290,88,65,56.02,4.65
198,Darnah,LY,32.77,22.64,1533444290,0,96,80.32,14.27
199,Ancud,CL,-41.87,-73.83,1533444290,92,98,51.43,11.03
200,Kuzino,RU,57.02,59.44,1533444291,0,48,67.0,3.76
201,Kangaatsiaq,GL,68.31,-53.46,1533444291,56,96,41.44,9.01
202,Gornyy,RU,51.76,48.54,1533444048,0,40,86.35,4.99
203,Redlands,US,34.06,-117.19,1533444000,1,25,80.56,6.93
204,Ozernovskiy,RU,51.5,156.52,1533444292,92,98,53.68,6.78
205,Cuenca,ES,40.07,-2.13,1533444257,0,74,61.6,2.53
206,Redding,US,40.59,-122.39,1533441300,1,23,79.88,4.7
207,Guane,CU,22.2,-84.09,1533444292,0,82,79.6,6.55
208,Cidreira,BR,-30.17,-50.22,1533444293,0,94,51.7,15.73
209,Kirensk,RU,57.78,108.12,1533444293,24,58,68.26,3.31
210,New Norfolk,AU,-42.78,147.06,1533441600,75,48,60.8,13.87
211,Ilulissat,GL,69.22,-51.1,1533444294,8,94,40.09,4.76
212,The Pas,CA,53.82,-101.24,1533441600,90,82,64.4,14.99
213,Kutum,SD,14.2,24.66,1533444294,32,86,69.43,4.43
214,Karratha,AU,-20.74,116.85,1533444295,0,18,74.2,12.71
215,Talara,PE,-4.58,-81.27,1533444295,44,86,64.48,7.0
216,Narsaq,GL,60.91,-46.05,1533441000,92,87,44.6,4.7
217,Lazurne,UA,46.77,34.99,1533444296,0,42,84.28,4.76
218,Auki,SB,-8.77,160.7,1533444296,56,100,79.15,7.23
219,Sultanpur,IN,26.26,82.07,1533444296,88,100,79.78,4.99
220,Korla,CN,41.76,86.15,1533444297,12,42,87.52,4.43
221,Sangmelima,CM,2.93,11.98,1533444297,92,98,67.72,2.53
222,Norsup,VU,-16.07,167.38,1533444297,0,79,76.9,9.13
223,Walvis Bay,,-22.95,14.51,1533444298,0,100,52.51,10.02
224,Bintulu,MY,3.17,113.03,1533441600,75,70,87.8,4.7
225,Ygatimi,PY,-24.08,-55.5,1533444298,92,81,58.18,3.09
226,Viedma,AR,-40.81,-62.99,1533444299,44,39,49.63,11.92
227,Shupiyan,IN,33.72,74.83,1533444299,0,38,74.92,2.42
228,Mayskiy,RU,43.63,44.06,1533441600,40,64,68.0,4.47
229,San Jeronimo,MX,29.37,-110.79,1533440400,75,50,95.0,6.93
230,Katsuura,JP,33.93,134.5,1533441600,20,56,95.0,9.17
231,Mount Gambier,AU,-37.83,140.78,1533444301,92,64,55.75,12.37
232,Ziarat,PK,30.38,67.73,1533444301,0,10,88.6,4.09
233,Mareeba,AU,-16.99,145.42,1533441600,20,51,82.4,14.99
234,Meulaboh,ID,4.14,96.13,1533444302,24,100,81.49,9.13
235,Cayenne,GF,4.94,-52.33,1533441600,20,100,75.2,6.44
236,Gizo,SB,-8.1,156.84,1533444303,88,100,80.23,16.06
237,Sao Joao da Barra,BR,-21.64,-41.05,1533444303,36,100,69.97,8.46
238,Ola,RU,59.58,151.3,1533441600,90,93,60.8,2.24
239,Rocha,UY,-34.48,-54.34,1533444305,24,95,47.56,10.69
240,Kautokeino,NO,69.01,23.04,1533444305,8,76,54.94,3.53
241,Dhidhdhoo,MV,6.88,73.1,1533444306,20,98,83.2,9.35
242,Louisville,US,38.25,-85.76,1533442500,1,69,77.38,5.82
243,Kanalia,GR,39.4,21.8,1533444306,0,63,69.7,1.63
244,Peru,US,41.33,-89.13,1533442500,1,83,73.36,8.05
245,Halifax,CA,44.65,-63.58,1533441600,75,100,68.0,5.82
246,Pochutla,MX,15.74,-96.47,1533444307,56,100,85.81,12.03
247,Dubti,ET,11.74,41.09,1533444307,44,70,76.09,4.43
248,Rundu,,-17.91,19.77,1533444308,32,36,70.78,4.21
249,Lapeer,US,43.05,-83.32,1533442500,1,83,73.4,9.8
250,Awjilah,LY,29.14,21.3,1533444308,0,42,84.46,9.69
251,Natal,BR,-5.81,-35.21,1533441600,40,83,75.2,6.93
252,Nelson Bay,AU,-32.72,152.14,1533441600,0,35,69.8,6.93
253,Tashtyp,RU,52.8,89.89,1533444309,0,62,75.46,5.1
254,Telimele,GN,10.9,-13.03,1533444310,92,98,69.16,3.2
255,Kalengwa,ZM,-13.47,25.0,1533444310,0,46,58.81,12.48
256,Jinchang,CN,38.52,102.19,1533444310,64,88,71.23,4.88
257,Ronne,DK,55.1,14.71,1533442800,0,72,68.0,11.41
258,Norman Wells,CA,65.28,-126.83,1533441600,90,93,60.8,2.24
259,Kapit,MY,2.02,112.94,1533444311,20,61,87.79,2.98
260,Mandalgovi,MN,45.76,106.27,1533444312,100,100,63.13,10.8
261,Tezu,IN,27.93,96.16,1533444312,80,84,76.27,1.74
262,Talakan,RU,50.29,130.28,1533444312,48,62,74.11,4.32
263,Piacabucu,BR,-10.41,-36.43,1533444312,64,96,69.52,4.65
264,Quatre Cocos,MU,-20.21,57.76,1533441600,20,69,73.4,9.17
265,Nanortalik,GL,60.14,-45.24,1533444313,92,100,41.44,4.76
266,Saint-Augustin,CA,45.63,-73.98,1533441600,20,100,68.63,3.76
267,Vadso,NO,70.07,29.75,1533442800,92,87,53.6,5.82
268,Ponta do Sol,PT,32.67,-17.1,1533443400,20,88,69.8,3.36
269,Vila Velha,BR,-3.71,-38.6,1533441600,40,83,78.8,12.75
270,Bunbury,AU,-33.33,115.63,1533444315,92,70,56.38,14.27
271,Kanniyakumari,IN,8.08,77.57,1533444315,20,95,80.5,17.29
272,Vaitape,PF,-16.52,-151.75,1533444317,48,100,78.16,16.17
273,Okato,NZ,-39.19,173.88,1533444317,92,100,53.5,12.82
274,Cuajinicuilapa,MX,16.47,-98.41,1533444318,80,100,78.16,7.34
275,Sao Goncalo do Amarante,BR,-3.61,-38.97,1533441600,40,83,78.8,12.75
276,San Policarpo,PH,12.18,125.51,1533444319,64,84,85.9,15.95
277,General Roca,AR,-39.03,-67.58,1533441600,0,61,50.0,5.88
278,Siva,RU,56.42,50.83,1533444319,80,98,62.86,5.99
279,Qasigiannguit,GL,68.82,-51.19,1533444320,8,94,40.09,4.76
280,Tigil,RU,57.8,158.67,1533444320,48,75,61.15,8.46
